Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",138.000000,-115.595000,0.000000,top
"C2","22u","C_0805_2012Metric",141.500000,-116.545000,-90.000000,top
"C3","100n","C_0402_1005Metric",140.500000,-113.095000,90.000000,top
"C4","100n","C_0402_1005Metric",155.400000,-112.700000,-90.000000,top
"C5","22u","C_0805_2012Metric",155.000000,-109.595000,180.000000,top
"D1","LED","LED_0603_1608Metric",131.000000,-123.095000,180.000000,top
"D2","ESD5Zxx","D_SOD-523",130.700000,-107.595000,0.000000,top
"D3","ESD5Zxx","D_SOD-523",169.300000,-108.095000,180.000000,top
"D4","LED","LED_0603_1608Metric",165.620000,-121.095000,0.000000,top
"D5","LED","LED_0603_1608Metric",135.000000,-116.882500,90.000000,top
"D6","LED","LED_0603_1608Metric",158.500000,-108.595000,-90.000000,top
"J2","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",126.000000,-107.475000,0.000000,top
"J3","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",174.000000,-108.220000,0.000000,top
"R1","1K5","R_0402_1005Metric",153.500000,-116.595000,-90.000000,top
"R2","1K5","R_0402_1005Metric",134.500000,-123.095000,0.000000,top
"R3","1K5","R_0402_1005Metric",161.000000,-121.095000,180.000000,top
"R4","1K5","R_0402_1005Metric",135.000000,-120.095000,-90.000000,top
"R5","1K5","R_0402_1005Metric",161.000000,-107.595000,0.000000,top
"U1","ICM-42688-P","PQFN50P300X250X97-14N",137.500000,-113.095000,0.000000,top
"U2","MS5611-01BA03","SON125P500X300X100-8N",158.700000,-114.720000,0.000000,top
