Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,138.0000,-115.5950,0,Top
C2,22u,C_0805_2012Metric,141.5000,-116.5450,270,Top
C3,100n,C_0402_1005Metric,140.5000,-113.0950,90,Top
C4,100n,C_0402_1005Metric,155.4000,-112.7000,270,Top
C5,22u,C_0805_2012Metric,155.0000,-109.5950,180,Top
D1,LED,LED_0603_1608Metric,131.0000,-123.0950,180,Top
D2,ESD5Zxx,D_SOD-523,130.7000,-107.5950,0,Top
D3,ESD5Zxx,D_SOD-523,169.3000,-108.0950,180,Top
D4,LED,LED_0603_1608Metric,165.6200,-121.0950,0,Top
D5,LED,LED_0603_1608Metric,135.0000,-116.8825,90,Top
D6,LED,LED_0603_1608Metric,158.5000,-108.5950,270,Top
R1,1K5,R_0402_1005Metric,153.5000,-116.5950,270,Top
R2,1K5,R_0402_1005Metric,134.5000,-123.0950,0,Top
R3,1K5,R_0402_1005Metric,161.0000,-121.0950,180,Top
R4,1K5,R_0402_1005Metric,135.0000,-120.0950,270,Top
R5,1K5,R_0402_1005Metric,161.0000,-107.5950,0,Top
U1,ICM-42688-P,PQFN50P300X250X97-14N,137.5000,-113.0950,0,Top
U2,MS5611-01BA03,SON125P500X300X100-8N,158.7000,-114.7200,0,Top
